From ricesim2022 - ciab.000
JDAY		DATE	SRAD	TMAX	TMIN	RAIN	WIND
1	'01/01/2000'	14.9	30.8	22.8	11.7	9.72
2	'01/02/2000'	11.8	30.7	22.9	11.8	6.48
3	'01/03/2000'	18.8	32.7	22.4	0	2.52
4	'01/04/2000'	19.5	33.6	25.1	0	2.52
5	'01/05/2000'	20.1	34.2	24.8	0	2.52
6	'01/06/2000'	17.1	32.2	23.3	0	5.76
7	'01/07/2000'	21.4	33.2	22.5	0	7.2
8	'01/08/2000'	18.7	31.6	23.7	0	8.28
9	'01/09/2000'	19.5	31.7	23.8	0	7.56
10	'01/10/2000'	19.1	31.4	23.6	0	7.2
11	'01/11/2000'	18.8	31.3	23.4	0	7.56
12	'01/12/2000'	15.5	30.4	23.4	0	8.64
13	'01/13/2000'	20.6	30.4	23.2	0	9.72
14	'01/14/2000'	17.8	30.9	22.8	0	9.36
15	'01/15/2000'	16.9	30.1	22.8	3.8	9.36
16	'01/16/2000'	16.3	30.7	23.2	0	4.32
17	'01/17/2000'	18.9	31.3	23.5	0	7.56
18	'01/18/2000'	17.9	31.4	22.8	0	8.64
19	'01/19/2000'	16.7	31.2	23	0	9
20	'01/20/2000'	17.9	31	23.4	0	7.56
21	'01/21/2000'	18.4	30.4	23.2	2.3	6.84
22	'01/22/2000'	18.1	30.5	23.2	0	6.48
23	'01/23/2000'	17.7	30.3	22.9	0	7.2
24	'01/24/2000'	19	30.8	23.1	0	8.64
25	'01/25/2000'	20.5	31.5	23.7	0	8.28
26	'01/26/2000'	19.3	31.3	22.9	27.5	6.12
27	'01/27/2000'	19.4	31.9	22.8	0	6.48
28	'01/28/2000'	19.5	31.8	23.6	0	6.84
29	'01/29/2000'	19.8	33.5	23.4	0	4.32
30	'01/30/2000'	21	32.8	23.4	0	3.96
31	'01/31/2000'	18.3	33.7	24.1	0	4.32
32	'02/01/2000'	18.5	32.4	23.6	0	2.88
33	'02/02/2000'	22.1	31.2	19	0	10.44
34	'02/03/2000'	23.2	31.4	18.5	0	7.56
35	'02/04/2000'	22.7	32.3	20.6	0	2.52
36	'02/05/2000'	22.4	33	24	0	2.88
37	'02/06/2000'	22	32.9	21.6	0	2.16
38	'02/07/2000'	22.2	32.7	22.4	0	1.8
39	'02/08/2000'	22.6	32.9	23.3	0	1.8
40	'02/09/2000'	23.8	32.2	23.6	0	3.24
41	'02/10/2000'	24.6	32.6	23.5	0	2.16
42	'02/11/2000'	23.7	32.7	23.5	0	4.32
43	'02/12/2000'	22.3	33.1	22.5	0	2.88
44	'02/13/2000'	21.5	33.1	24.5	0	3.24
45	'02/14/2000'	22.2	32.1	24	0	3.96
46	'02/15/2000'	21.6	33.7	24.4	0	3.6
47	'02/16/2000'	21.8	33.8	24.1	0	5.4
48	'02/17/2000'	21.4	31.3	23.5	0	5.04
49	'02/18/2000'	23.3	31.2	24	0	6.84
50	'02/19/2000'	21.6	31.1	23.6	0	6.12
51	'02/20/2000'	20.2	30.7	23.7	0	9.72
52	'02/21/2000'	20.8	31	23.8	0	7.56
53	'02/22/2000'	17.5	30.5	23.2	17.4	9.36
54	'02/23/2000'	20	30.2	23.4	0	9.36
55	'02/24/2000'	16.7	30.1	23.7	0	6.48
56	'02/25/2000'	16.7	30.2	23.9	4.8	7.92
57	'02/26/2000'	20	31	24.2	27.8	5.4
58	'02/27/2000'	21.4	30.9	23.7	4	5.4
59	'02/28/2000'	18.5	31	23.9	4.4	6.48
60	'02/29/2000'	21.9	30.6	24.3	4.4	6.84
61	'03/01/2000'	19.9	32.2	26.2	0	3.6
62	'03/02/2000'	19.8	32.8	26	0	5.76
63	'03/03/2000'	19.7	32.9	25.9	0	6.48
64	'03/04/2000'	19.8	33.1	26.4	0	5.76
65	'03/05/2000'	19.5	33	26.4	0	7.56
66	'03/06/2000'	19.6	33.5	26.6	0	3.96
67	'03/07/2000'	21.1	32.7	25.9	0	5.4
68	'03/08/2000'	20.5	33	26.3	0	6.48
69	'03/09/2000'	21.1	32.7	26.4	13.2	4.32
70	'03/10/2000'	20	33.3	26.6	2.4	4.68
71	'03/11/2000'	18.5	32.8	26.3	0	5.04
72	'03/12/2000'	19.9	32.4	25.7	0	8.28
73	'03/13/2000'	20.7	33.6	25.6	0	5.76
74	'03/14/2000'	18.8	32.8	26	0	7.56
75	'03/15/2000'	18.4	32	25.8	0	11.16
76	'03/16/2000'	21.6	31.8	25	40.1	9.72
77	'03/17/2000'	23.6	32.3	25.3	6	8.28
78	'03/18/2000'	20	31.3	25.5	0	11.16
79	'03/19/2000'	21.2	31.8	25	0	9
80	'03/20/2000'	11.9	31.3	24.6	0	6.48
81	'03/21/2000'	19.3	32.3	25.4	0	6.12
82	'03/22/2000'	23.9	31.9	25.3	2	8.28
83	'03/23/2000'	23.7	31.7	25.4	2.7	9
84	'03/24/2000'	24.3	32.6	25.2	0	6.84
85	'03/25/2000'	12.5	31.7	25.3	1.4	9.36
86	'03/26/2000'	20.6	31.2	25.2	4.5	10.44
87	'03/27/2000'	11	31	25.1	14.4	8.28
