                time                Date            Rainfall       Inifiltration          Runoff@end        WaterStorage       LeftDischarge      RightDischarge
  44653.0000  04/02/2022        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  44653.0417  04/02/2022        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  44653.0833  04/02/2022        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  44653.1250  04/02/2022        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  44653.1667  04/02/2022        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  44653.2083  04/02/2022        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  44653.2500  04/02/2022        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  44653.2917  04/02/2022        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  44653.3333  04/02/2022        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  44653.3750  04/02/2022        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  44653.4167  04/02/2022        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  44653.4583  04/02/2022        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  44653.5000  04/02/2022        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  44653.5417  04/02/2022        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  44653.5833  04/02/2022        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  44653.6250  04/02/2022        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  44653.6667  04/02/2022        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  44653.7083  04/02/2022        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  44653.7500  04/02/2022        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  44653.7917  04/02/2022        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  44653.8333  04/02/2022        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  44653.8750  04/02/2022        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  44653.9167  04/02/2022        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  44653.9583  04/02/2022        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  44654.0000  04/03/2022        0.0000        1.4076        0.0000        0.0000        0.0000        0.0000
  44654.0417  04/03/2022        0.0000       34.8673        0.0000        0.0000        0.0000        0.0000
  44654.0833  04/03/2022        0.0000       48.2795        0.0000        0.0000        0.0000        0.0000
  44654.1250  04/03/2022        0.0000       45.1742        0.0000        0.0000        0.0000        0.0000
  44654.1667  04/03/2022        0.0000       39.8032        0.0000        0.0000        0.0000        0.0000
  44654.2083  04/03/2022        0.0000       38.2288        0.0000        0.0000        0.0000        0.0000
