JDay,Date,hour,srad,temperature,rain
91,'04/1/2022',0,0,4.56,0
91,'04/1/2022',1,0,3.93,0
91,'04/1/2022',2,0,3.3,0
91,'04/1/2022',3,0,2.66004,0
91,'04/1/2022',4,0,2.45,0
91,'04/1/2022',5,0,2.24,0
91,'04/1/2022',6,0,2.02,0
91,'04/1/2022',7,0.2552256,3.4,0
91,'04/1/2022',8,0.829152,4.78,0
91,'04/1/2022',9,1.2007368,6.15,0
91,'04/1/2022',10,1.6848612,8.24,0
91,'04/1/2022',11,2.1020112,10.34,0
91,'04/1/2022',12,2.1953664,12.43,0
91,'04/1/2022',13,2.1882924,12.97,0
91,'04/1/2022',14,2.0873988,13.51,0
91,'04/1/2022',15,2.1680172,14.05,0
91,'04/1/2022',16,1.69965,13.39,0
91,'04/1/2022',17,1.1253312,12.74,0
91,'04/1/2022',18,0.4609728,12.08,0
91,'04/1/2022',19,0.0322272,10.13,0
91,'04/1/2022',20,0,8.18004,0
91,'04/1/2022',21,0,6.23004,0
91,'04/1/2022',22,0,6.08,0
91,'04/1/2022',23,0,5.94,0
92,'04/2/2022',0,0,5.80004,0
92,'04/2/2022',1,0,5.44,0
92,'04/2/2022',2,0,5.08004,0
92,'04/2/2022',3,0,4.72,0
92,'04/2/2022',4,0,4.33,0
92,'04/2/2022',5,0,3.95,0
92,'04/2/2022',6,0,3.56,0
92,'04/2/2022',7,0.2758464,4.88,0
92,'04/2/2022',8,0.8587584,6.21,0
92,'04/2/2022',9,1.416384,7.53,0
92,'04/2/2022',10,1.9812312,9.68004,0
92,'04/2/2022',11,2.467782,11.84,0
92,'04/2/2022',12,2.71449,13.99,0
92,'04/2/2022',13,2.704518,14.99,0
92,'04/2/2022',14,2.579544,15.99,0
92,'04/2/2022',15,2.27592,16.99,0
92,'04/2/2022',16,1.7859096,16.92,0
92,'04/2/2022',17,1.1852352,16.86,0
92,'04/2/2022',18,0.5501376,16.8,0
92,'04/2/2022',19,0.0465696,14.94,0
92,'04/2/2022',20,0,13.09,0
92,'04/2/2022',21,0,11.23,0
92,'04/2/2022',22,0,10.25,0
92,'04/2/2022',23,0,9.26,0
93,'04/3/2022',0,0,8.27,0
93,'04/3/2022',1,0,7.45,0
93,'04/3/2022',2,0,6.63,0
93,'04/3/2022',3,0,5.81,0
93,'04/3/2022',4,0,5.39,0
93,'04/3/2022',5,0,4.98004,0
93,'04/3/2022',6,0,4.56,0
93,'04/3/2022',7,0.2828736,6.88,0
93,'04/3/2022',8,0.8468352,9.19,0
93,'04/3/2022',9,1.2347856,11.5,0
93,'04/3/2022',10,1.7219592,12.54,0
93,'04/3/2022',11,2.1414168,13.57,0
93,'04/3/2022',12,2.4149664,14.6,0
93,'04/3/2022',13,2.4050268,14.77,0
93,'04/3/2022',14,2.2936932,14.94,0
93,'04/3/2022',15,2.3132304,15.11,0
93,'04/3/2022',16,1.816848,14.6,0
93,'04/3/2022',17,1.2085056,14.09,0
93,'04/3/2022',18,0.5459616,13.58,0
93,'04/3/2022',19,0.054,11.6,0
93,'04/3/2022',20,0,9.62,0
93,'04/3/2022',21,0,7.64,0
93,'04/3/2022',22,0,7.14,0
93,'04/3/2022',23,0,6.64004,0
94,'04/4/2022',0,0,6.14,0
94,'04/4/2022',1,0,5.83,0
94,'04/4/2022',2,0,5.52,0
94,'04/4/2022',3,0,5.22,0
94,'04/4/2022',4,0,4.68,0
94,'04/4/2022',5,0,4.15,0
94,'04/4/2022',6,0,3.62004,0
94,'04/4/2022',7,0.3218112,5.17,0
94,'04/4/2022',8,0.929088,6.72,0
94,'04/4/2022',9,1.4565924,8.26,0
94,'04/4/2022',10,2.0251944,10.74,0
94,'04/4/2022',11,2.514582,13.22,0
94,'04/4/2022',12,2.8407888,15.7,0
94,'04/4/2022',13,2.8278036,16.92,0
94,'04/4/2022',14,2.6966268,18.15,0
94,'04/4/2022',15,2.44269,19.37,0
94,'04/4/2022',16,1.92024,18.84,0
94,'04/4/2022',17,1.28016,18.31,0
94,'04/4/2022',18,0.487152,17.78,0
94,'04/4/2022',19,0.0549216,16.1,0
94,'04/4/2022',20,0,14.42,0
94,'04/4/2022',21,0,12.74,0
94,'04/4/2022',22,0,12.34,0
94,'04/4/2022',23,0,11.94,0
95,'04/5/2022',0,0,11.54,0
95,'04/5/2022',1,0,10.8,0
95,'04/5/2022',2,0,10.05,0
95,'04/5/2022',3,0,9.31,0
95,'04/5/2022',4,0,8.81,0
95,'04/5/2022',5,0,8.31,0
95,'04/5/2022',6,0,7.81,0
95,'04/5/2022',7,0.2668608,9.44,0
95,'04/5/2022',8,0.7449408,11.06,0
95,'04/5/2022',9,1.2566232,12.69,0
95,'04/5/2022',10,1.7420472,14.3,0
95,'04/5/2022',11,2.1597552,15.91,0
95,'04/5/2022',12,2.2330584,17.52,0
95,'04/5/2022',13,2.2218912,16.48,0
95,'04/5/2022',14,2.1186,15.44,0
95,'04/5/2022',15,2.4000732,14.41,0
95,'04/5/2022',16,1.8884448,13.33,0
95,'04/5/2022',17,1.261728,12.26,0
95,'04/5/2022',18,0.5225184,11.18,0
95,'04/5/2022',19,0.0658944,9.42,0
95,'04/5/2022',20,0,7.67,0
95,'04/5/2022',21,0,5.91,0
95,'04/5/2022',22,0,5.4,0
95,'04/5/2022',23,0,4.9,0
96,'04/6/2022',0,0,4.4,0
96,'04/6/2022',1,0,3.79,0
96,'04/6/2022',2,0,3.17,0
96,'04/6/2022',3,0,2.55,0
96,'04/6/2022',4,0,2.32,0
96,'04/6/2022',5,0,2.08,0
96,'04/6/2022',6,0,1.84,0
96,'04/6/2022',7,0.3514752,3.55,0
96,'04/6/2022',8,0.951084,5.25004,0
96,'04/6/2022',9,1.2112344,6.96004,0
96,'04/6/2022',10,1.6743204,8.01,0
96,'04/6/2022',11,2.072682,9.06004,0
96,'04/6/2022',12,1.9214244,10.1,0
96,'04/6/2022',13,1.911006,10.3,0
96,'04/6/2022',14,1.8220752,10.51,0
96,'04/6/2022',15,1.6588476,10.71,0
96,'04/6/2022',16,1.3063644,10.26,0
